iter	Passed	Remaining
0	0	77
1	1	72
2	2	69
3	2	63
4	3	62
5	3	61
6	4	60
7	5	59
8	5	57
9	6	57
10	6	55
11	7	55
12	8	53
13	8	53
14	10	58
15	11	57
16	11	56
17	12	55
18	12	54
19	13	52
20	13	51
21	14	50
22	14	48
23	15	47
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	43
30	18	42
31	19	41
32	19	40
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	23	36
39	23	35
40	24	34
41	24	33
42	24	33
43	25	32
44	25	31
45	26	31
46	27	30
47	27	29
48	28	29
49	28	28
50	29	28
51	30	27
52	30	27
53	31	26
54	31	26
55	32	25
56	33	24
57	33	24
58	34	23
59	34	23
60	35	22
61	35	22
62	36	21
63	37	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	46	8
84	47	8
85	48	7
86	48	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
