iter	Passed	Remaining
0	146	146074
1	147	73384
2	147	49096
3	148	36947
4	149	29724
5	150	24854
6	150	21376
7	151	18790
8	152	16766
9	152	15140
10	153	13814
11	154	12713
12	156	11861
13	157	11059
14	157	10362
15	158	9751
16	159	9210
17	159	8724
18	160	8295
19	161	7908
20	162	7561
21	162	7240
22	163	6953
23	164	6684
24	165	6436
25	165	6204
26	166	5992
27	166	5794
28	167	5609
29	168	5438
30	168	5276
31	169	5126
32	170	4990
33	171	4873
34	172	4752
35	173	4640
36	174	4531
37	174	4426
38	175	4329
39	176	4234
40	177	4151
41	178	4063
42	178	3979
43	179	3899
44	180	3821
45	180	3746
46	181	3674
47	181	3609
48	182	3545
49	183	3482
50	183	3423
51	184	3366
52	185	3311
53	185	3256
54	186	3204
55	187	3153
56	187	3105
57	188	3059
58	189	3015
59	189	2975
60	190	2934
61	191	2894
62	191	2855
63	192	2816
64	193	2778
65	193	2743
66	195	2720
67	196	2686
68	196	2654
69	197	2621
70	198	2591
71	198	2560
72	199	2530
73	199	2500
74	200	2472
75	201	2447
76	202	2421
77	202	2394
78	203	2369
79	203	2344
80	204	2319
81	205	2295
82	205	2269
83	206	2248
84	206	2225
85	207	2205
86	208	2185
87	208	2165
88	209	2146
89	210	2126
90	211	2107
91	211	2090
92	212	2075
93	213	2058
94	214	2042
95	215	2026
96	215	2009
97	216	1994
98	217	1976
99	217	1961
100	218	1945
101	219	1930
102	219	1914
103	220	1900
104	221	1885
105	221	1870
106	222	1856
107	223	1842
108	223	1829
109	224	1815
110	225	1803
111	225	1790
112	227	1784
113	228	1773
114	228	1761
115	229	1749
116	230	1735
117	230	1723
118	231	1713
119	232	1703
120	233	1697
121	234	1687
122	235	1677
123	236	1667
124	236	1657
125	237	1647
126	238	1636
127	238	1627
128	239	1617
129	240	1607
130	240	1597
131	241	1587
132	242	1578
133	242	1569
134	243	1560
135	244	1552
136	245	1544
137	246	1540
138	247	1531
139	247	1522
140	248	1513
141	248	1503
142	249	1495
143	250	1486
144	250	1478
145	251	1471
146	252	1465
147	253	1458
148	253	1450
149	254	1443
150	255	1435
151	256	1428
152	256	1421
153	257	1414
154	258	1407
155	259	1402
156	259	1395
157	260	1388
158	261	1382
159	262	1375
160	262	1367
161	263	1361
162	263	1354
163	264	1348
164	265	1343
165	266	1337
166	267	1333
167	268	1327
168	268	1321
169	269	1316
170	270	1311
171	271	1307
172	272	1301
173	272	1295
174	273	1289
175	274	1284
176	274	1277
177	275	1273
178	276	1267
179	277	1262
180	277	1256
181	278	1251
182	278	1245
183	279	1239
184	280	1235
185	281	1229
186	281	1224
187	282	1220
188	283	1214
189	283	1210
190	284	1205
191	285	1200
192	285	1195
193	286	1191
194	287	1185
195	287	1181
196	288	1177
197	289	1172
198	290	1167
199	290	1162
200	291	1158
201	292	1153
202	292	1149
203	293	1144
204	294	1140
205	294	1136
206	295	1131
207	296	1127
208	296	1123
209	297	1118
210	297	1114
211	298	1109
212	299	1105
213	299	1101
214	300	1097
215	301	1093
216	301	1089
217	302	1085
218	303	1080
219	303	1076
220	304	1072
221	305	1069
222	305	1065
223	306	1062
224	307	1059
225	308	1055
226	308	1051
227	309	1047
228	310	1044
229	310	1040
230	311	1036
231	312	1033
232	313	1030
233	313	1027
234	314	1023
235	314	1019
236	315	1015
237	316	1012
238	316	1008
239	317	1004
240	318	1001
241	318	998
242	319	995
243	320	992
244	320	988
245	321	985
246	322	982
247	323	979
248	323	976
249	324	973
250	325	970
251	325	966
252	326	963
253	326	960
254	327	956
255	328	953
256	328	950
257	329	947
258	330	944
259	330	941
260	331	938
261	332	935
262	332	932
263	333	929
264	334	926
265	334	923
266	335	920
267	335	917
268	336	914
269	337	911
270	337	908
271	338	906
272	339	903
273	339	900
274	340	897
275	341	894
276	341	891
277	342	888
278	342	886
279	343	883
280	344	881
281	345	878
282	345	875
283	346	873
284	346	870
285	347	867
286	348	864
287	348	862
288	349	859
289	350	857
290	351	855
291	351	853
292	352	850
293	353	847
294	353	845
295	354	842
296	355	840
297	355	838
298	356	836
299	357	834
300	358	832
301	358	829
302	359	827
303	360	824
304	360	822
305	361	819
306	362	817
307	363	816
308	364	814
309	364	811
310	365	809
311	366	807
312	366	804
313	367	802
314	368	800
315	368	798
316	369	796
317	370	794
318	371	792
319	371	789
320	372	787
321	373	785
322	373	783
323	374	781
324	375	779
325	376	777
326	376	775
327	377	773
328	378	771
329	378	769
330	379	767
331	380	765
332	381	763
333	381	761
334	382	759
335	383	757
336	383	755
337	384	753
338	385	751
339	386	749
340	387	748
341	387	745
342	388	743
343	389	741
344	389	739
345	390	737
346	390	735
347	391	733
348	392	731
349	393	730
350	394	728
351	394	726
352	395	724
353	395	722
354	396	720
355	397	719
356	398	717
357	399	715
358	399	714
359	400	712
360	401	710
361	401	708
362	402	706
363	403	704
364	404	703
365	404	701
366	405	699
367	406	697
368	407	696
369	407	693
370	408	691
371	408	690
372	409	688
373	410	686
374	410	684
375	411	682
376	412	681
377	412	679
378	413	677
379	414	675
380	414	673
381	415	672
382	416	670
383	416	668
384	417	667
385	418	666
386	419	664
387	420	662
388	420	660
389	421	658
390	421	657
391	422	655
392	423	654
393	424	652
394	424	650
395	425	649
396	426	647
397	426	645
398	427	644
399	428	642
400	428	640
401	429	639
402	430	637
403	431	636
404	431	634
405	432	632
406	432	630
407	433	629
408	434	627
409	435	626
410	435	624
411	436	622
412	437	621
413	437	619
414	438	617
415	438	616
416	439	614
417	440	612
418	440	611
419	441	610
420	442	608
421	443	607
422	443	605
423	444	603
424	445	602
425	445	600
426	446	598
427	446	597
428	447	595
429	448	594
430	448	592
431	449	591
432	450	589
433	450	587
434	451	586
435	451	584
436	452	583
437	453	581
438	454	580
439	455	579
440	455	577
441	456	576
442	457	574
443	457	573
444	458	571
445	458	570
446	459	568
447	460	567
448	460	565
449	461	564
450	462	562
451	462	561
452	463	559
453	463	557
454	464	556
455	465	554
456	466	553
457	466	552
458	467	551
459	468	549
460	469	548
461	469	546
462	470	545
463	470	544
464	471	542
465	472	541
466	473	540
467	474	538
468	474	537
469	475	536
470	475	534
471	476	533
472	477	531
473	477	530
474	478	528
475	479	527
476	480	526
477	480	524
478	481	523
479	481	522
480	482	520
481	483	519
482	483	517
483	484	516
484	485	515
485	486	514
486	486	512
487	487	511
488	488	510
489	488	508
490	489	507
491	490	506
492	491	504
493	491	503
494	492	502
495	493	501
496	493	499
497	494	498
498	495	497
499	496	496
500	496	494
501	497	493
502	498	492
503	499	491
504	500	490
505	500	488
506	501	487
507	501	486
508	502	484
509	503	483
510	504	482
511	504	481
512	505	480
513	506	478
514	507	477
515	507	476
516	508	475
517	509	473
518	510	473
519	511	471
520	512	470
521	512	469
522	513	468
523	514	467
524	514	465
525	515	464
526	516	463
527	517	462
528	517	461
529	518	459
530	519	458
531	519	457
532	520	455
533	521	454
534	521	453
535	522	452
536	523	451
537	523	449
538	524	448
539	525	447
540	525	446
541	526	444
542	527	443
543	527	442
544	528	441
545	529	440
546	529	438
547	530	437
548	531	436
549	531	435
550	532	433
551	533	432
552	534	431
553	534	430
554	535	429
555	536	428
556	536	426
557	537	425
558	537	424
559	538	423
560	539	421
561	539	420
562	540	419
563	541	418
564	541	417
565	542	415
566	543	414
567	543	413
568	544	412
569	544	410
570	545	409
571	546	408
572	546	407
573	547	406
574	548	405
575	549	404
576	549	402
577	550	401
578	550	400
579	551	399
580	552	398
581	552	397
582	553	395
583	554	394
584	554	393
585	555	392
586	556	391
587	556	390
588	557	388
589	557	387
590	558	386
591	559	385
592	559	384
593	560	383
594	561	381
595	561	380
596	562	379
597	562	378
598	563	377
599	564	376
600	564	374
601	565	374
602	566	373
603	567	372
604	568	371
605	568	369
606	569	368
607	570	367
608	570	366
609	571	365
610	572	364
611	572	363
612	573	362
613	574	360
614	574	359
615	575	358
616	575	357
617	576	356
618	577	355
619	578	354
620	578	353
621	579	352
622	580	351
623	580	349
624	581	348
625	581	347
626	582	346
627	583	345
628	584	344
629	584	343
630	585	342
631	586	341
632	587	340
633	587	339
634	588	338
635	589	337
636	590	336
637	590	335
638	591	334
639	592	333
640	592	332
641	593	330
642	594	329
643	594	328
644	595	327
645	596	326
646	597	325
647	598	324
648	598	323
649	599	322
650	599	321
651	600	320
652	601	319
653	601	318
654	602	317
655	603	316
656	604	315
657	605	314
658	605	313
659	606	312
660	607	311
661	607	310
662	608	309
663	609	308
664	610	307
665	610	306
666	611	305
667	611	304
668	612	302
669	613	301
670	613	300
671	614	299
672	615	298
673	615	297
674	616	296
675	616	295
676	617	294
677	618	293
678	618	292
679	619	291
680	619	290
681	620	289
682	621	288
683	622	287
684	622	286
685	623	285
686	624	284
687	624	283
688	625	282
689	625	281
690	626	280
691	627	279
692	628	278
693	628	277
694	629	276
695	629	275
696	630	274
697	630	273
698	631	271
699	632	270
700	632	269
701	633	269
702	634	268
703	635	267
704	635	265
705	636	264
706	636	263
707	637	262
708	637	261
709	638	260
710	639	259
711	639	258
712	640	257
713	641	256
714	641	255
715	642	254
716	643	253
717	644	252
718	644	251
719	645	250
720	646	250
721	647	249
722	647	248
723	648	247
724	649	246
725	649	245
726	650	244
727	651	243
728	652	242
729	652	241
730	653	240
731	654	239
732	654	238
733	655	237
734	655	236
735	656	235
736	657	234
737	658	233
738	658	232
739	659	231
740	660	230
741	660	229
742	661	228
743	662	227
744	662	226
745	663	225
746	664	224
747	665	224
748	665	223
749	666	222
750	667	221
751	667	220
752	668	219
753	668	218
754	669	217
755	670	216
756	670	215
757	671	214
758	672	213
759	672	212
760	673	211
761	674	210
762	675	209
763	675	208
764	676	207
765	677	207
766	678	206
767	678	205
768	679	204
769	680	203
770	680	202
771	681	201
772	682	200
773	682	199
774	683	198
775	684	197
776	685	196
777	685	195
778	686	194
779	687	194
780	688	193
781	689	192
782	690	191
783	691	190
784	691	189
785	692	188
786	693	187
787	693	186
788	694	185
789	695	184
790	695	183
791	696	182
792	697	182
793	697	181
794	698	180
795	699	179
796	699	178
797	700	177
798	701	176
799	702	175
800	702	174
801	703	173
802	704	172
803	704	171
804	705	170
805	706	169
806	706	169
807	707	168
808	707	167
809	708	166
810	709	165
811	709	164
812	710	163
813	710	162
814	711	161
815	712	160
816	712	159
817	713	158
818	713	157
819	714	156
820	715	155
821	715	154
822	716	154
823	716	153
824	717	152
825	717	151
826	718	150
827	719	149
828	719	148
829	720	147
830	721	146
831	721	145
832	722	144
833	722	143
834	723	142
835	724	142
836	724	141
837	725	140
838	725	139
839	726	138
840	727	137
841	727	136
842	728	135
843	729	134
844	729	133
845	730	132
846	730	132
847	731	131
848	732	130
849	732	129
850	733	128
851	734	127
852	734	126
853	735	125
854	736	124
855	736	123
856	737	123
857	738	122
858	739	121
859	739	120
860	740	119
861	741	118
862	741	117
863	742	116
864	742	115
865	743	115
866	744	114
867	744	113
868	745	112
869	746	111
870	746	110
871	747	109
872	748	108
873	748	107
874	749	107
875	750	106
876	751	105
877	751	104
878	752	103
879	753	102
880	753	101
881	754	100
882	755	100
883	755	99
884	756	98
885	756	97
886	757	96
887	758	95
888	759	94
889	759	93
890	760	93
891	761	92
892	761	91
893	762	90
894	762	89
895	763	88
896	764	87
897	765	86
898	765	86
899	766	85
900	766	84
901	767	83
902	768	82
903	768	81
904	769	80
905	770	79
906	771	79
907	771	78
908	772	77
909	773	76
910	773	75
911	774	74
912	774	73
913	775	72
914	776	72
915	777	71
916	777	70
917	778	69
918	778	68
919	779	67
920	780	66
921	780	66
922	781	65
923	782	64
924	783	63
925	783	62
926	784	61
927	785	60
928	785	60
929	786	59
930	787	58
931	788	57
932	789	56
933	790	55
934	791	54
935	791	54
936	792	53
937	793	52
938	794	51
939	794	50
940	795	49
941	796	49
942	796	48
943	797	47
944	797	46
945	798	45
946	798	44
947	799	43
948	800	43
949	801	42
950	802	41
951	802	40
952	803	39
953	804	38
954	804	37
955	805	37
956	805	36
957	806	35
958	807	34
959	808	33
960	808	32
961	809	31
962	809	31
963	810	30
964	811	29
965	812	28
966	812	27
967	813	26
968	813	26
969	814	25
970	815	24
971	815	23
972	816	22
973	817	21
974	817	20
975	818	20
976	819	19
977	819	18
978	820	17
979	821	16
980	821	15
981	822	15
982	823	14
983	823	13
984	824	12
985	825	11
986	825	10
987	826	10
988	827	9
989	827	8
990	828	7
991	828	6
992	829	5
993	830	5
994	830	4
995	831	3
996	832	2
997	833	1
998	833	0
999	834	0
